Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
SRR7821918	36220112	36220112	2147270	31799500	2273342	326434	1944279	1458900	238493	97.32	119246.5	972139.5	729450.0
SRR7821919	36285942	36285942	2223767	31921206	2140969	347231	1908991	1589251	254830	97.37	127415.0	954495.5	794625.5
SRR7821920	39982873	39982873	4732055	32857734	2393084	463654	4682232	3002580	851990	94.14	425995.0	2341116.0	1501290.0
SRR7821921	40592768	40592768	2624972	35598491	2369305	431717	2209661	1867990	308859	97.28	154429.5	1104830.5	933995.0
SRR7821922	37737087	37737087	2292329	33194932	2249826	323378	2009517	1649760	278625	97.34	139312.5	1004758.5	824880.0
SRR7821923	38564395	38564395	2641403	33454267	2468725	223430	3071287	1487862	276797	96.02	138398.5	1535643.5	743931.0
SRR7821924	54744146	54744146	3373422	48206756	3163968	443583	3325024	2196444	338210	96.96	169105.0	1662512.0	1098222.0
SRR7821925	34754674	34754674	2287668	30341063	2125943	161180	2645569	1374371	233036	96.19	116518.0	1322784.5	687185.5
SRR7821927	31608859	31608859	2006164	27566008	2036687	239074	2097957	1199280	236943	96.68	118471.5	1048978.5	599640.0
SRR7821937	44881449	44881449	2360970	39708034	2812445	244715	2222499	1708303	301708	97.52	150854.0	1111249.5	854151.5
SRR7821938	40988016	40988016	2150958	37041311	1795747	150370	2253123	1538069	209984	97.25	104992.0	1126561.5	769034.5
SRR7821939	46697727	46697727	1888871	41618193	3190663	181987	1781265	1418651	213852	98.09	106926.0	890632.5	709325.5
SRR7821940	36802873	36802873	2700565	31790985	2311323	263126	2662517	1817822	394539	96.38	197269.5	1331258.5	908911.0
SRR7821941	39406044	39406044	1840896	35078290	2486858	181168	1858363	1253502	207591	97.64	103795.5	929181.5	626751.0
SRR7821942	44301194	44301194	2496758	39195366	2609070	490895	2258991	1518061	234674	97.45	117337.0	1129495.5	759030.5
