Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR7821918	40773904	28598521	323310	0	1547972	0	640603	0	0	6347223	0	0	2766605	0	549670	70.13927584662974
SRR7821919	40826505	28121350	250460	0	1687600	0	737541	0	0	6145942	0	0	3335288	0	548324	68.88013068960962
SRR7821920	46453277	27821591	1148580	0	3294063	0	2086109	0	0	7011192	0	0	4602583	0	489159	59.89155727377424
SRR7821921	45684038	31315139	295348	0	1946991	0	953685	0	0	6806721	0	0	3765164	0	600990	68.54722211727432
SRR7821922	42618132	29013093	263288	0	1813805	0	758829	0	0	6523017	0	0	3723264	0	522836	68.0768762929356
SRR7821923	43923850	29577750	843945	0	1742750	0	615293	0	0	7190074	0	0	3459709	0	494329	67.33870095631417
SRR7821924	61134242	41851669	670461	0	2366680	0	920725	0	0	8842036	0	0	5808693	0	673978	68.45863730509654
SRR7821925	39448504	25980948	656211	0	1666038	0	429682	0	0	6268560	0	0	4043258	0	403807	65.86041387019391
SRR7821927	36255838	23533896	511560	0	1376033	0	632795	0	0	6111155	0	0	3712981	0	377418	64.91063866735061
SRR7821937	50303809	35152605	350496	0	1828991	0	761127	0	0	7609095	0	0	4083637	0	517858	69.88060287840231
SRR7821938	44648115	33616051	401511	0	1698293	0	462361	0	0	5023976	0	0	2895480	0	550443	75.29108675696611
SRR7821939	52517904	36698980	214484	0	1591575	0	446064	0	0	8602609	0	0	4429094	0	535098	69.87898831606076
SRR7821940	41500093	27781545	568401	0	1933417	0	1009682	0	0	6153532	0	0	3633602	0	419914	66.94333191012367
SRR7821941	43761408	31296443	359901	0	1345638	0	495152	0	0	6410506	0	0	3390854	0	462914	71.51607873311572
SRR7821942	49057132	34463613	489124	0	1476563	0	744261	0	0	6929406	0	0	4418677	0	535488	70.2519931250771
